method,endpoint,status_code,response_time,request_size,hour
GET,/health,200,10,153,5
GET,/products/318,200,144,944,12
POST,/payments,201,397,1650,16
GET,/users,200,104,1127,11
GET,/users/3035,200,85,825,8
GET,/health,200,10,154,23
GET,/products/182,200,160,1061,17
GET,/users/4660,200,82,766,9
GET,/products/531,200,72,863,15
GET,/users/3784,200,101,773,20
GET,/users/3083,200,103,797,16
GET,/products/770,200,145,928,19
POST,/payments,404,322,1581,19
POST,/payments,201,408,1360,22
GET,/users,200,134,961,14
GET,/users/533,200,94,682,17
GET,/users,200,132,919,9
GET,/users,200,117,898,16
POST,/api/search,200,246,924,15
GET,/users/114,200,112,937,14
POST,/payments,201,409,1612,16
GET,/products/563,200,134,1060,13
GET,/users/3193,200,72,816,10
GET,/products/627,200,119,935,15
POST,/api/search,200,299,976,18
GET,/users/381,200,106,890,9
GET,/users/1817,404,98,773,20
POST,/payments,201,318,1525,15
GET,/products/726,200,137,1004,18
GET,/users,200,135,1114,11
GET,/products/381,200,133,855,15
POST,/payments,201,318,1419,21
GET,/products/207,200,114,973,15
POST,/payments,201,437,1445,22
GET,/users/1475,200,107,698,11
GET,/products/261,200,132,805,13
POST,/api/search,200,250,858,14
GET,/products/199,200,133,1018,15
GET,/users,200,120,1041,13
GET,/health,200,10,144,20
POST,/payments,201,366,1572,19
GET,/users/4510,200,98,667,10
POST,/api/search,200,239,1084,14
POST,/payments,201,376,1556,18
GET,/users,200,114,1007,15
GET,/products/330,200,110,906,14
GET,/users/3187,200,82,816,17
GET,/users/2741,200,77,818,11
GET,/products/138,200,109,938,17
GET,/users/1198,200,101,771,20
GET,/users/1809,200,5940,896,18
GET,/health,200,13,162,0
GET,/health,200,12,163,9
POST,/api/search,200,231,937,13
POST,/payments,201,370,1299,14
POST,/payments,201,295,1457,15
GET,/products/253,200,108,965,18
POST,/api/search,200,238,1045,20
GET,/products/615,200,144,966,16
GET,/phpmyadmin/,404,11,61,5
GET,/health,200,13,162,21
POST,/payments,201,382,1603,22
GET,/users/1224,200,97,748,17
GET,/health,200,9,161,5
GET,/health,404,11,149,15
POST,/payments,201,296,1706,19
POST,/api/search,200,280,1005,12
GET,/products/805,200,136,1003,12
POST,/payments,201,335,1450,17
GET,/products/27,200,121,901,9
GET,/users,200,107,1070,10
POST,/api/search,200,263,1002,12
POST,/api/search,200,232,879,23
GET,/health,200,14,142,10
GET,/users/3477,200,106,725,20
GET,/products/539,200,135,825,21
GET,/health,200,13,141,23
GET,/health,200,16,149,10
GET,/products/166,200,159,1104,13
GET,/health,200,12,151,21
GET,/products/763,200,144,934,12
GET,/health,200,9,139,1
GET,/users/2201,200,91,886,19
POST,/payments,201,357,1605,14
GET,/health,404,12,125,8
GET,/health,200,9,153,9
GET,/products/2,200,147,1066,12
GET,/health,200,12,141,18
POST,/payments,201,329,1464,19
GET,/health,200,11,152,7
GET,/health,200,12,139,23
GET,/users/4002,200,78,808,18
GET,/products/390,200,126,947,18
POST,/api/search,200,240,801,21
POST,/users,413,3948,55000,19
POST,/payments,201,333,1276,19
GET,/users,200,117,1091,12
GET,/health,200,15,142,1
GET,/users/933,200,82,815,16
GET,/health,200,12,150,13
GET,/users,200,121,1045,17
GET,/users,200,134,1000,13
GET,/admin/config.php,400,26,49,1
GET,/products/299,200,124,923,16
POST,/payments,201,295,1662,11
POST,/api/search,200,293,918,20
POST,/payments,201,335,1535,10
GET,/users,200,110,949,14
GET,/users/4230,200,100,807,8
POST,/api/search,200,227,1056,20
GET,/health,200,15,152,16
GET,/users,200,135,1175,9
GET,/users,200,104,1101,11
POST,/api/search,200,230,955,17
POST,/payments,201,286,1568,18
GET,/users,200,100,1018,18
GET,/users,200,108,1021,16
GET,/products/831,200,130,838,18
POST,/payments,201,334,1327,22
POST,/api/search,200,277,1089,19
GET,/users/2856,200,91,769,9
GET,/health,200,16,171,19
GET,/users,200,144,1003,11
GET,/products/846,200,119,949,11
POST,/api/search,200,307,987,23
GET,/health,200,11,136,22
GET,/users/4497,200,96,746,17
POST,/payments,201,328,1662,11
POST,/payments,201,329,1674,15
GET,/users,200,115,989,17
GET,/products/581,200,139,859,13
POST,/payments,201,364,1421,15
GET,/users/4030,200,84,783,14
GET,/health,200,15,130,15
POST,/api/search,200,229,919,15
GET,/health,200,5,144,17
GET,/health,200,12,158,1
POST,/payments,201,372,1610,20
POST,/api/search,200,241,1147,16
POST,/payments,201,361,1626,13
POST,/payments,201,371,1495,12
GET,/users/300,200,85,831,16
GET,/users/4628,200,73,860,18
GET,/health,200,5,149,1
POST,/api/search,200,266,900,22
GET,/products/624,200,135,932,10
POST,/api/search,200,292,994,21
GET,/products/418,200,145,858,18
POST,/payments,201,355,1585,19
POST,/payments,201,331,1319,15
GET,/users,200,121,908,17
POST,/payments,201,377,1624,16
POST,/api/search,200,247,982,12
GET,/users,200,132,977,15
GET,/users/2796,200,99,649,10
POST,/payments,201,351,1376,19
POST,/payments,201,319,1320,10
POST,/api/search,200,227,1080,13
POST,/payments,201,342,1311,17
POST,/payments,201,389,1391,14
POST,/api/search,200,267,866,14
GET,/health,200,10,147,18
GET,/health,200,15,138,2
GET,/users,200,105,940,9
GET,/users,200,144,1183,9
GET,/users,200,124,989,16
GET,/health,200,16,156,15
GET,/users,200,123,1034,11
GET,/products/688,200,145,1043,19
POST,/payments,201,352,1713,20
GET,/products/468,200,146,887,10
GET,/products/507,200,112,897,11
POST,/api/search,200,316,1167,22
GET,/users/3646,200,94,682,16
POST,/payments,201,382,1535,17
GET,/products/255,200,119,956,19
GET,/health,200,9,154,10
POST,/api/search,200,275,973,15
POST,/payments,201,337,1481,21
GET,/admin/config.php,400,11,5,3
POST,/payments,201,355,1686,16
POST,/api/search,200,269,908,19
GET,/users/2909,200,83,785,16
GET,/users/1435,200,96,878,8
GET,/users/4669,200,99,773,9
POST,/payments,201,336,1456,20
GET,/products/869,200,107,1012,11
POST,/payments,201,285,1551,21
POST,/payments,201,299,1528,19
POST,/payments,201,320,1416,22
POST,/api/search,200,233,799,12
GET,/products/641,200,152,926,9
POST,/payments,201,230,1619,11
GET,/products/526,200,107,1089,19
POST,/payments,201,419,1277,22
GET,/users/1629,200,95,762,12
GET,/users,200,126,953,15
GET,/users/3925,200,88,780,9
POST,/api/search,200,279,960,23
GET,/users/2871,200,78,726,9
GET,/products/846,200,140,1061,12
GET,/users/918,200,76,875,20
POST,/api/search,200,193,1035,16
GET,/users,200,119,913,10
GET,/health,200,10,154,9
GET,/health,404,13,150,17
POST,/payments,201,327,1375,13
POST,/api/search,200,310,1108,16
GET,/products/880,200,7849,1647,7
GET,/health,200,10,162,22
GET,/health,200,14,147,21
GET,/users,200,126,1064,17
GET,/health,200,14,159,12
POST,/payments,201,329,1406,13
GET,/health,200,11,145,10
GET,/users,200,96,1151,17
GET,/health,200,13,147,14
GET,/users,200,105,1009,18
GET,/users,200,149,1014,18
GET,/health,200,8,144,9
POST,/api/search,200,271,991,21
GET,/users,200,131,1040,16
POST,/api/search,200,243,990,21
POST,/api/search,200,302,1006,17
GET,/users/4315,200,7663,1037,13
GET,/health,200,12,153,10
POST,/payments,201,313,1581,18
GET,/health,200,11,143,23
POST,/payments,201,350,1558,21
POST,/api/search,200,252,915,13
GET,/products/429,200,108,867,17
GET,/users/4736,200,104,676,15
POST,/payments,404,370,1607,16
GET,/products/760,200,115,1031,12
POST,/payments,201,315,1456,10
GET,/users,200,133,1011,8
GET,/health,200,14,151,3
POST,/api/search,200,211,887,13
GET,/users,200,94,1096,10
GET,/health,200,15,173,18
GET,/health,200,10,146,21
GET,/health,200,13,152,12
GET,/health,200,10,131,7
GET,/users,404,114,993,15
GET,/users,200,112,1139,12
POST,/payments,201,352,1373,13
GET,/products/413,200,122,942,17
POST,/payments,201,331,1698,12
POST,/api/search,200,249,914,19
GET,/users/3059,200,88,770,11
POST,/payments,201,357,1527,10
GET,/health,200,17,142,15
GET,/products/841,200,121,975,21
POST,/api/search,200,252,1248,21
GET,/health,200,12,145,9
GET,/products/854,200,118,984,14
GET,/users/2627,200,85,835,15
GET,/health,200,16,156,23
GET,/users/3803,200,94,781,16
GET,/users/4311,404,75,840,10
POST,/api/search,200,221,1026,15
GET,/users,200,98,1115,9
GET,/users/3514,200,95,741,17
POST,/api/search,200,269,932,14
POST,/payments,201,434,1533,20
POST,/api/search,200,315,1142,20
GET,/users,200,135,1086,10
GET,/users,200,11145,1444,0
POST,/payments,201,342,1474,19
GET,/health,200,11,143,7
GET,/products/511,200,142,849,14
GET,/users/3958,200,85,810,14
GET,/users/4846,404,98,811,12
GET,/users/3437,200,114,771,8
GET,/health,200,11,170,12
GET,/products/475,200,92,940,19
GET,/users/1957,200,89,801,8
GET,/users,200,135,1071,8
POST,/payments,201,354,1462,10
GET,/users/872,200,82,833,10
GET,/users/3629,200,109,806,11
POST,/payments,201,313,1464,12
GET,/health,200,13,152,15
POST,/payments,201,361,1629,22
GET,/users,200,109,1129,15
GET,/health,200,14,144,23
GET,/users,200,143,1077,9
GET,/users,200,142,1070,15
GET,/health,200,11,163,8
GET,/users/3224,200,90,783,9
GET,/users,200,134,1088,8
GET,/users/3972,200,89,705,14
POST,/payments,201,467,1489,10
GET,/users,200,154,1019,16
GET,/users/381,200,103,755,10
GET,/health,200,11,156,20
GET,/products/117,200,112,958,16
GET,/users/463,200,99,797,15
GET,/health,200,11,145,13
GET,/health,200,12,137,0
GET,/users,200,6219,666,11
GET,/health,200,9,151,18
GET,/users/4334,200,95,620,10
POST,/payments,201,330,1657,21
GET,/products/146,200,138,873,14
GET,/users/598,200,103,799,20
POST,/users,201,2398,102414,14
GET,/products/696,200,138,945,19
GET,/users,200,122,1068,14
GET,/users,200,117,1108,12
GET,/health,200,9,152,21
POST,/payments,201,268,1579,15
GET,/products/855,200,164,919,21
POST,/api/search,200,278,969,18
POST,/payments,201,364,1451,16
GET,/users,200,132,1000,9
GET,/health,200,11,150,21
GET,/health,200,15,134,0
GET,/health,404,14,156,18
GET,/health,200,13,145,1
GET,/health,200,11,156,9
POST,/api/search,200,272,903,18
POST,/api/search,200,260,890,19
GET,/users,200,118,1080,13
GET,/users/1404,200,80,742,15
GET,/health,200,10,139,5
GET,/products/112,200,125,933,9
GET,/health,200,11,159,6
GET,/health,200,10,157,7
GET,/users/4952,200,77,696,14
POST,/api/search,200,227,1036,23
GET,/health,200,12,157,17
POST,/api/search,200,299,964,16
POST,/api/search,200,298,1039,22
POST,/api/search,200,230,997,17
POST,/api/search,404,300,896,14
GET,/users,200,113,978,8
GET,/users/1796,200,74,824,8
GET,/health,200,10,148,15
GET,/products/686,200,115,841,13
POST,/payments,201,309,1731,14
POST,/payments,201,404,1399,13
GET,/products/585,200,135,911,13
GET,/products/875,200,138,1003,19
GET,/users,200,131,926,15
GET,/health,200,15,127,21
GET,/users,200,141,971,11
GET,/users/4925,404,85,832,11
GET,/users,200,111,1003,15
GET,/users/3196,200,78,796,14
GET,/users,200,119,925,12
GET,/users,200,122,1121,8
GET,/users/2413,200,103,803,10
POST,/api/search,200,232,962,15
GET,/health,200,9,147,21
GET,/products/351,200,134,951,14
GET,/users,200,114,1183,13
POST,/payments,201,319,1511,16
POST,/api/search,200,283,969,22
GET,/users,200,115,976,16
POST,/api/search,200,245,1111,18
GET,/users/2284,200,85,799,12
GET,/users,200,105,1006,17
GET,/users/69,200,72,775,11
GET,/health,200,10,134,0
GET,/health,200,7,153,15
GET,/products/190,200,165,912,18
GET,/health,404,11,139,6
GET,/health,200,14,153,6
POST,/api/search,200,258,862,13
GET,/products/61,200,108,973,14
POST,/payments,201,326,1359,15
POST,/payments,201,370,1542,13
GET,/products/393,200,149,937,16
GET,/users,200,125,1104,15
GET,/users/248,200,91,711,12
POST,/payments,201,354,1654,16
GET,/products/412,200,137,1070,19
GET,/users/4043,200,91,968,14
POST,/api/search,200,316,870,21
GET,/users,200,132,1099,14
GET,/users,200,126,1081,12
POST,/payments,201,3727,85298,12
GET,/products/599,200,136,1025,9
GET,/health,200,9,143,11
GET,/products/782,200,137,957,14
GET,/users,200,125,1044,13
GET,/products/874,200,138,1021,19
POST,/api/search,200,258,934,20
POST,/payments,201,318,1643,20
GET,/users,200,99,1014,16
GET,/users/493,200,77,776,9
GET,/users,200,111,1034,18
GET,/products/279,200,143,989,9
POST,/api/search,200,281,968,21
GET,/products/92,200,133,955,21
GET,/users,200,132,1112,12
GET,/users/1993,200,66,752,12
GET,/health,200,10,134,1
POST,/payments,201,285,1509,17
GET,/users,200,116,830,8
GET,/products/652,200,118,971,17
GET,/users/1596,200,99,735,11
GET,/users,200,104,877,11
GET,/users/3158,200,92,762,10
POST,/api/search,200,245,1064,13
POST,/payments,201,399,1488,14
GET,/users,200,138,1007,8
POST,/api/search,200,244,1002,19
POST,/payments,201,372,1563,16
POST,/payments,201,344,1729,13
GET,/users/2289,200,91,632,12
GET,/health,200,9,157,22
GET,/health,200,9,159,8
POST,/payments,201,311,1447,17
POST,/api/search,200,346,892,12
POST,/payments,201,370,1602,10
POST,/api/search,200,269,1002,13
GET,/users,200,131,968,8
POST,/payments,201,354,1435,18
GET,/users/4558,200,92,830,9
POST,/payments,201,377,1518,16
POST,/api/search,200,243,937,21
GET,/users,200,104,1072,10
GET,/health,200,9,154,7
GET,/users,200,133,1066,16
GET,/users/572,200,96,755,15
POST,/payments,201,316,1497,10
POST,/payments,201,355,1366,21
POST,/api/search,200,281,981,17
GET,/health,200,2,142,1
GET,/products/151,200,112,935,21
GET,/users/2607,200,80,745,12
POST,/payments,201,324,1485,11
GET,/health,200,16,158,21
POST,/payments,201,346,1566,22
GET,/health,200,10,163,7
POST,/payments,201,277,1423,14
GET,/users/286,200,113,703,11
GET,/products/651,200,122,951,11
GET,/users/1302,200,72,750,20
POST,/payments,201,412,1398,22
POST,/payments,201,316,1390,13
GET,/users,200,97,1153,15
GET,/health,200,12,160,6
GET,/users/1800,200,94,776,16
GET,/users/531,200,94,804,20
GET,/products/599,200,130,925,18
GET,/users,200,142,1227,15
POST,/api/search,200,251,1052,22
GET,/users/535,200,95,715,20
POST,/payments,201,363,1416,20
POST,/payments,201,289,1532,16
GET,/users/1642,200,79,801,19
GET,/health,200,11,144,17
GET,/users,200,117,1010,12
POST,/payments,201,320,1748,22
GET,/users,200,129,1006,16
POST,/api/search,200,252,1010,17
GET,/users/3531,200,102,762,20
POST,/payments,201,303,1493,12
POST,/payments,201,335,1206,17
GET,/users,200,98,948,14
GET,/health,200,12,163,19
GET,/health,200,19,142,7
GET,/users/4638,200,72,825,17
POST,/payments,201,288,1498,21
POST,/payments,201,294,1438,20
GET,/users,200,122,983,13
GET,/health,200,10,155,10
POST,/api/search,200,274,1084,16
GET,/health,200,9,151,1
GET,/products/803,200,110,897,17
GET,/health,200,15,136,0
GET,/users/2149,200,106,770,14
GET,/products/614,200,150,921,19
GET,/setup.php,403,10,144,3
GET,/users,200,123,1045,18
GET,/users/1011,200,86,858,20
GET,/users,200,123,1149,10
GET,/products/874,200,130,1025,9
POST,/payments,201,397,1478,19
GET,/users,200,145,940,8
GET,/health,200,11,155,10
GET,/products/342,200,98,802,18
GET,/users,200,94,870,17
GET,/users/3413,200,102,898,19
GET,/users/730,200,88,789,20
GET,/health,200,15,163,13
GET,/users,200,113,1078,14
GET,/users/113,200,87,693,20
POST,/api/search,200,240,987,14
GET,/users/1643,200,100,791,19
GET,/users/4925,200,76,730,20
GET,/users/2722,200,99,887,8
POST,/payments,201,275,1698,19
POST,/api/search,200,275,937,22
GET,/products/866,200,119,874,14
POST,/payments,201,342,1475,16
GET,/health,200,16,175,17
GET,/products/495,200,141,951,11
GET,/health,200,11,150,12
GET,/health,200,11,170,6
POST,/api/search,200,254,842,21
GET,/users/445,200,80,864,19
GET,/health,200,9,140,2
GET,/users,200,133,986,10
GET,/users/4905,200,92,794,17
GET,/health,200,10,162,11
GET,/products/416,200,113,916,9
GET,/users,200,105,1148,15
GET,/users,200,112,1058,17
POST,/api/search,200,244,922,22
GET,/products/6,200,105,1100,13
GET,/products/341,200,135,941,12
GET,/users/384,200,117,786,17
